pasta_ID,color
1,yellow
2,red
3,green
4,yellow
5,red
6,green
7,yellow
8,green
9,yellow
10,green
11,yellow
12,green
13,yellow
14,green
15,yellow
16,green
17,red
18,red
19,green
20,red
21,green
22,green
23,green
24,green
25,green
26,red
27,green
28,red
29,green
30,green
31,yellow
32,green
33,red
34,red
35,yellow
36,green
37,yellow
38,red
39,yellow
40,green
41,red
42,yellow
43,red
44,red
45,green
46,green
47,green
48,green
49,green
50,yellow
51,red
52,green
53,green
54,red
55,red
56,yellow
57,yellow
58,green
59,green
60,green
61,green
62,green
63,green
64,green
65,green
66,red
67,green
68,yellow
69,yellow
70,red
71,green
72,green
73,green
74,yellow
75,green
76,green
77,green
78,red
79,red
80,green
81,red
82,red
83,green
84,green
85,green
86,red
87,red
88,green
89,green
90,red
91,yellow
92,red
93,green
94,red
95,green
96,yellow
97,green
98,yellow
99,red
100,red
101,green
102,yellow
103,red
104,green
105,red
106,green
107,red
108,green
109,yellow
110,yellow
111,red
112,green
113,green
114,green
115,red
116,green
117,red
118,yellow
119,green
120,green
121,yellow
122,green
123,red
124,red
125,green
126,yellow
127,yellow
128,red
129,green
130,green
131,green
132,red
133,red
134,green
135,green
136,green
137,green
138,green
139,green
140,red
141,green
142,green
143,red
144,green
145,yellow
146,green
147,green
148,green
149,green
150,red
151,green
152,red
153,green
154,red
155,green
156,red
157,green
158,yellow
159,green
160,green
161,green
162,green
163,red
164,green
165,red
166,yellow
167,green
168,green
169,green
170,yellow
171,green
172,green
173,yellow
174,green
175,green
176,red
177,red
178,red
179,green
180,yellow
181,green
182,yellow
183,green
184,green
185,green
186,yellow
187,yellow
188,red
189,green
190,green
191,green
192,yellow
193,green
194,green
195,green
196,green
197,green
198,green
199,green
200,red
201,green
202,red
203,green
204,green
205,red
206,green
207,yellow
208,green
209,yellow
210,red
211,yellow
212,green
213,green
214,green
215,red
216,green
217,red
218,red
219,green
220,green
221,green
222,green
223,yellow
224,red
225,yellow
226,green
227,green
228,red
229,green
230,green
231,green
232,green
233,green
234,red
235,yellow
236,red
237,green
238,red
239,red
240,yellow
241,green
242,green
243,green
244,green
245,yellow
246,red
247,green
248,green
249,green
250,yellow
251,yellow
252,green
253,red
254,red
255,red
256,green
257,green
258,red
259,yellow
260,green
261,red
262,yellow
263,red
264,green
265,red
266,green
267,green
268,yellow
269,red
270,green
271,yellow
272,green
273,red
274,yellow
275,red
276,yellow
277,red
278,red
279,green
280,red
281,green
282,green
283,green
284,green
285,green
286,red
287,yellow
288,red
289,green
290,green
291,yellow
292,green
293,yellow
294,green
295,green
296,green
297,yellow
298,green
299,green
300,red
301,yellow
302,green
303,green
304,green
305,yellow
306,yellow
307,red
308,yellow
309,red
310,yellow
311,green
312,green
313,yellow
314,green
315,red
316,yellow
317,green
318,green
319,green
320,red
321,green
322,green
323,green
324,green
325,red
326,green
327,green
328,green
329,red
330,red
331,yellow
332,red
333,yellow
334,yellow
335,yellow
336,red
337,yellow
338,red
339,green
340,red
341,red
342,green
343,red
344,green
345,red
346,red
347,red
348,green
349,red
350,green
351,yellow
352,green
353,green
354,yellow
355,yellow
356,green
357,red
358,green
359,yellow
360,green
361,green
362,yellow
363,red
364,yellow
365,red
366,red
367,green
368,red
369,green
370,yellow
371,green
372,green
373,red
374,red
375,green
